index,id,name,artists,danceability,duration_ms,energy,instrumentalness,liveness,popularity,speechiness
43,02LfDDgzIbC9iFMjR1aQRR,Energetic 2021,['Upbeat Morning Music'],0.695,125574,0.0133,0.949,0.0929,0,0.104
44,6Lbjxx91XY7NsqU5oY1zjI,Artistic 2021,['Musica Rilassante & Benessere'],0.809,116843,0.0329,0.92,0.107,13,0.058
45,6Lbjxx91XY7NsqU5oY1zjI,Artistic 2021,['Musica Rilassante & Benessere'],0.809,116843,0.0329,0.92,0.107,13,0.058
46,3s4wBlMUHfG0LY8nbSkpq8,Intentions - Acoustic,['Justin Bieber'],0.715,160612,0.411,0,0.0903,3,0.0337
47,5bxObOcY5h3JsX9JmTpzmp,The Renaissance,['LPTHERAPPER'],0.33,159023,0.861,0,0.19,0,0.401
48,2HBcHNKPD0uNVQtni60A1A,Jazz Piano Soundtrack for 2021,['Smooth Jazz Deluxe'],0.748,116843,0.0455,0.957,0.117,7,0.132
49,2HBcHNKPD0uNVQtni60A1A,Jazz Piano Soundtrack for 2021,['Smooth Jazz Deluxe'],0.748,116843,0.0455,0.957,0.117,7,0.132
50,6G9ODNSjhCiX5ONC0ffu9B,Secret Time,['Mysterious World Music'],0.221,199121,0.0928,0.924,0.0944,4,0.0444
51,6G9ODNSjhCiX5ONC0ffu9B,Secret Time,['Mysterious World Music'],0.221,199121,0.0928,0.924,0.0944,4,0.0444
52,3tQpxKcHeOieuDTfb2HBsn,Modish Ambiance for New Years Resolutions,['Jazz Piano Bar'],0.601,146471,0.00936,0.914,0.0981,5,0.0815
53,3tQpxKcHeOieuDTfb2HBsn,Modish Ambiance for New Years Resolutions,['Jazz Piano Bar'],0.601,146471,0.00936,0.914,0.0981,5,0.0815
54,2WSlYUq0DDeCbjdNXxqfVq,Uplifting Backdrops for 2021,['French Cafe Jazz Lounge'],0.6,121858,0.0212,0.931,0.102,0,0.135
55,2WSlYUq0DDeCbjdNXxqfVq,Uplifting Backdrops for 2021,['French Cafe Jazz Lounge'],0.6,121858,0.0212,0.931,0.102,0,0.135
56,0iowG6Tg0cxr0W0XRluZ57,Easy New Years Resolutions,['Summer Chilling Jazz'],0.732,116843,0.0304,0.933,0.107,0,0.306
57,0iowG6Tg0cxr0W0XRluZ57,Easy New Years Resolutions,['Summer Chilling Jazz'],0.732,116843,0.0304,0.933,0.107,0,0.306
58,0ujeempa4HknWZftFpW5yo,Bubbly Jazz Piano Solo - Vibe for 2021,['Easy Listening Jazz'],0.611,118329,0.0192,0.891,0.105,3,0.19
59,0SUEMDO5R7b4VHn5DwaJ2m,Exciting Moods for New Years Resolutions,['Cafe Jazz Relax'],0.717,123437,0.0175,0.904,0.122,1,0.106
60,0SUEMDO5R7b4VHn5DwaJ2m,Exciting Moods for New Years Resolutions,['Cafe Jazz Relax'],0.717,123437,0.0175,0.904,0.122,1,0.106
61,3F62xiYQzUOgbJUI0A8FSQ,Runaway,"['LPTHERAPPER', 'Zenobia']",0.432,164522,0.625,0.0000134,0.156,0,0.201
62,4CVT9nLKOZYezNHkyywnRN,Orange Longevity,"['Mysterious World Music', 'Relaxing Zen Music Ensemble']",0.763,198796,0.0256,0.924,0.0693,0,0.0732
63,4CVT9nLKOZYezNHkyywnRN,Orange Longevity,"['Mysterious World Music', 'Relaxing Zen Music Ensemble']",0.763,198796,0.0256,0.924,0.0693,0,0.0732
64,0LqTrHzTlE3AaR4YbkQ42d,Orange Longevity,['Oriental Music Zone'],0.763,198796,0.0256,0.924,0.0693,0,0.0732
65,0Bz6DflJ4SjDJ9kyHWcIVT,Vintage 2021,['Dinner Music Chill'],0.727,108855,0.0308,0.807,0.109,8,0.0652
66,0Bz6DflJ4SjDJ9kyHWcIVT,Vintage 2021,['Dinner Music Chill'],0.727,108855,0.0308,0.807,0.109,8,0.0652
67,0t1wvcmWjdQP3BGlg68TAB,Background for New Years Resolutions,['Musica Rilassante & Benessere'],0.726,108855,0.032,0.935,0.103,16,0.0753
68,0t1wvcmWjdQP3BGlg68TAB,Background for New Years Resolutions,['Musica Rilassante & Benessere'],0.726,108855,0.032,0.935,0.103,16,0.0753
69,4ITIWizmuT1cs7AMt1yF7k,Suvi,['Lil Tijuana'],0.881,131631,0.535,0.0123,0.0929,0,0.258
70,4ITIWizmuT1cs7AMt1yF7k,Suvi,['Lil Tijuana'],0.881,131631,0.535,0.0123,0.0929,0,0.258
71,1smR6HpMGFhZpkYQTLiVAz,Runaway,"['Sebastian Yatra', 'Daddy Yankee', 'Natti Natasha', 'Jonas Brothers']",0.756,200693,0.851,0,0.126,0,0.0675
72,1D49P9iu9RDH3VVaEoxfaP,Runaway,"['Sebastian Yatra', 'Daddy Yankee', 'Natti Natasha', 'Jonas Brothers']",0.756,200693,0.851,0,0.126,0,0.0675
73,0QgjxXcNfAyNNqDdl28qaI,Runaway,"['Sebastian Yatra', 'Daddy Yankee', 'Natti Natasha', 'Jonas Brothers']",0.756,200693,0.851,0,0.126,0,0.0675
74,0AMlEXRognErkyKrFkbVf5,Runaway,"['Sebastian Yatra', 'Daddy Yankee', 'Natti Natasha', 'Jonas Brothers']",0.756,200693,0.851,0,0.126,0,0.0675
75,3n7Ja9KuRHYF22wgTdDz5c,Family Harmony,['Oriental Music Zone'],0.698,197713,0.0195,0.852,0.0641,0,0.0486
76,3n7Ja9KuRHYF22wgTdDz5c,Family Harmony,['Oriental Music Zone'],0.698,197713,0.0195,0.852,0.0641,0,0.0486
77,3n7Ja9KuRHYF22wgTdDz5c,Family Harmony,['Oriental Music Zone'],0.698,197713,0.0195,0.852,0.0641,0,0.0486
78,3n7Ja9KuRHYF22wgTdDz5c,Family Harmony,['Oriental Music Zone'],0.698,197713,0.0195,0.852,0.0641,0,0.0486
79,0Vu9He5H5GTXcKDtDNzLt0,Family Harmony,"['Mysterious World Music', 'Relaxing Zen Music Ensemble']",0.698,197713,0.0195,0.852,0.0641,0,0.0486
80,0Vu9He5H5GTXcKDtDNzLt0,Family Harmony,"['Mysterious World Music', 'Relaxing Zen Music Ensemble']",0.698,197713,0.0195,0.852,0.0641,0,0.0486
81,12tCj5WL8gVhFoCMQghL04,Tiền Vô Như Nước,['Mysterious World Music'],0.73,217600,0.124,0.894,0.0643,4,0.137
82,12tCj5WL8gVhFoCMQghL04,Tiền Vô Như Nước,['Mysterious World Music'],0.73,217600,0.124,0.894,0.0643,4,0.137
83,6VOT9gK5Gi3ANA8PU8Q0Gv,Away in a Manger,"['Christmas Carols', 'Christmas Music and Holiday Hits', 'Christmas Classics Collection']",0.697,151983,0.075,0.0177,0.207,0,0.0629
84,3XQn3gTkAicy8Ge4SWshXh,Serene Backdrops for 2021,['Classy Cafe Jazz Music'],0.67,135047,0.0294,0.935,0.115,0,0.373
